32;Petrucio Bittencourt;petruciobittencourt@lockbin.com;null;null\/null\/null 
30;Silverio Elias;silverioelias@tutanota.com;null;null\/null\/null 
27;Brigida Bilk;brigidabilk@r7.com;null;null\/null\/null 
8;Lismara Bittencourt;lismarabittencourt@outlook.com;null;null\/null\/null 
135;Marcos Amigo;marcosamigo@globo.com;null;null\/null\/null 
54;Margarete Pinheiro;margaretepinheiro@outlook.com;null;null\/null\/null 
504;Thelma Rechiafilho;thelmarechiafilho@lockbin.com;null;null\/null\/null 
32;Nayara Soteli;nayarasoteli@gmail.com;null;null\/null\/null 
288;Ivonete Nóbrega;ivonetenóbrega@mail.yandex.com;null;null\/null\/null 
180;Wallace Nunes;wallacenunes@lockbin.com;null;null\/null\/null 
231;Katherina Abueear;katherinaabueear@tutanota.com;null;null\/null\/null 
972;Sante Sá;santesá@hotmail.com;null;null\/null\/null 
26;Norma Vanroas;normavanroas@gmail.com;null;null\/null\/null 
56;Gil Machado;gilmachado@tutanota.com;null;null\/null\/null 
360;Ilário Stupp;iláriostupp@r7.com;null;null\/null\/null 
640;Gioconda Veiga;giocondaveiga@r7.com;null;null\/null\/null 
918;Pamela Schiestl;pamelaschiestl@r7.com;null;null\/null\/null 
324;Edimercia Waldrich;edimerciawaldrich@mail.ru;null;null\/null\/null 
114;Ziraldo Entre;ziraldoentre@ig.com.br;null;null\/null\/null 
1120;Lenora Rios;lenorarios@ig.com.br;null;null\/null\/null 
588;Mariana Morais;marianamorais@globo.com;null;null\/null\/null 
770;Max Hinckel;maxhinckel@terra.com.br;null;null\/null\/null 
184;Giancarlo Borba;giancarloborba@hotmail.com;null;null\/null\/null 
288;Odila Hartkopfff;odilahartkopfff@r7.com;null;null\/null\/null 
500;Alceu FermÖhlen;alceufermÖhlen@gawab.com;null;null\/null\/null 
390;Josefina Almeida;josefinaalmeida@ig.com.br;null;null\/null\/null 
756;Isaias Stadnick;isaiasstadnick@mail.aol.com;null;null\/null\/null 
980;Eneida NienckÖtter;eneidanienckÖtter@hotmail.com;null;null\/null\/null 
1218;Marisa Migliolli;marisamigliolli@ig.com.br;null;null\/null\/null 
240;Yan Silva;yansilva@live.com;null;null\/null\/null 
124;Narciso Schwartz;narcisoschwartz@mail.aol.com;null;null\/null\/null 
1440;Ulisses Nienchotter;ulissesnienchotter@terra.com.br;null;null\/null\/null 
2376;Lúcia Faust;lúciafaust@lockbin.com;null;null\/null\/null 
612;Aryana Carmo;aryanacarmo@yahoo.com;null;null\/null\/null 
1960;Alex Cardoso;alexcardoso@live.com;null;null\/null\/null 
2304;Paulete Santiago;pauletesantiago@gmail.com;null;null\/null\/null 
888;Vinicius RÖdig;viniciusrÖdig@gmail.com;null;null\/null\/null 
228;Massimo Kiefer;massimokiefer@mail.yandex.com;null;null\/null\/null 
585;Nadia Uchoa;nadiauchoa@r7.com;null;null\/null\/null 
1200;Theseo Jahm;theseojahm@live.com;null;null\/null\/null 
328;Jair Scholze;jairscholze@mail.yandex.com;null;null\/null\/null 
252;Julio Moretto;juliomoretto@live.com;null;null\/null\/null 
2064;Mario Figueiroa;mariofigueiroa@bigstring.com;null;null\/null\/null 
396;Gilvan Hochapfel;gilvanhochapfel@outlook.com;null;null\/null\/null 
